estado;sigla;regiao;cidade;populacao;pib;pib_percapita
BAHIA;BA;NORDESTE;IBICUÍ;16464;69475.15625;4219.81982422
BAHIA;BA;NORDESTE;SANTA RITA DE CÁSSIA;27528;91663.0;3329.81005859
BAHIA;BA;NORDESTE;NORDESTINA;12670;35456.31640625;2798.44995117
BAHIA;BA;NORDESTE;CORONEL JOÃO SÁ;18408;76828.921875;4173.66992188
BAHIA;BA;NORDESTE;PEDRO ALEXANDRE;17698;58842.01171875;3324.7800293
BAHIA;BA;NORDESTE;PRADO;26016;285453.96875;10972.25
BAHIA;BA;NORDESTE;IAÇU;28602;109799.9453125;3838.88989258
BAHIA;BA;NORDESTE;ARACI;54713;172730.890625;3157.04003906
BAHIA;BA;NORDESTE;CORIBE;14895;63455.30859375;4260.18017578
BAHIA;BA;NORDESTE;ARAÇAS;12209;97321.03125;7971.25
BAHIA;BA;NORDESTE;CONCEIÇÃO DO ALMEIDA;17974;69316.4296875;3856.47998047
BAHIA;BA;NORDESTE;BAIANÓPOLIS;14195;60239.99609375;4243.75
BAHIA;BA;NORDESTE;CRUZ DAS ALMAS;57098;387271.40625;6782.56982422
BAHIA;BA;NORDESTE;FEIRA DE SANTANA;591707;6358135.5;10745.41015625
BAHIA;BA;NORDESTE;JABORANDI;8895;161163.734375;18118.4609375
BAHIA;BA;NORDESTE;SANTALUZ;35416;129238.140625;3649.14990234
BAHIA;BA;NORDESTE;ALAGOINHAS;137810;1298216.375;9420.33984375
BAHIA;BA;NORDESTE;ITIRUÇU;16827;68143.1640625;4049.62988281
BAHIA;BA;NORDESTE;MULUNGU DO MORRO;13879;39825.95703125;2869.51000977
BAHIA;BA;NORDESTE;CABACEIRAS DO PARAGUAÇU;18569;58247.78515625;3136.83007812
BAHIA;BA;NORDESTE;TANQUE NOVO;16466;70092.859375;4256.81982422
BAHIA;BA;NORDESTE;PLANALTINO;8880;31850.30078125;3586.75
BAHIA;BA;NORDESTE;SERRINHA;73859;393287.0625;5324.83984375
BAHIA;BA;NORDESTE;IPIAÚ;43723;271794.59375;6216.27978516
BAHIA;BA;NORDESTE;CONCEIÇÃO DO JACUÍPE;28769;404286.28125;14052.83984375
BAHIA;BA;NORDESTE;IBIRAPITANGA;24223;94739.7421875;3911.14990234
BAHIA;BA;NORDESTE;ITAPETINGA;66665;658192.25;9873.12988281
BAHIA;BA;NORDESTE;UMBURANAS;17096;48177.484375;2818.06005859
BAHIA;BA;NORDESTE;BREJÕES;12446;92945.0078125;7467.85986328
BAHIA;BA;NORDESTE;COARACI;22274;88990.53125;3995.26000977
BAHIA;BA;NORDESTE;MARCIONÍLIO SOUZA;11061;41508.33203125;3752.66992188
BAHIA;BA;NORDESTE;QUEIMADAS;28729;95227.765625;3314.68994141
BAHIA;BA;NORDESTE;ITABELA;26704;201399.09375;7541.91015625
BAHIA;BA;NORDESTE;SALVADOR;2998056;32824228.0;10948.5
BAHIA;BA;NORDESTE;JUSSIAPE;8043;28544.64453125;3549.0
BAHIA;BA;NORDESTE;LENÇÓIS;10112;52895.79296875;5230.99023438
BAHIA;BA;NORDESTE;ARAMARI;9911;36618.66796875;3694.75
BAHIA;BA;NORDESTE;ILHÉUS;219266;1925639.875;8782.20996094
BAHIA;BA;NORDESTE;ANTÔNIO GONÇALVES;11240;33189.3984375;2952.79003906
BAHIA;BA;NORDESTE;ABAÍRA;8821;29147.60742188;3304.34008789
BAHIA;BA;NORDESTE;SOUTO SOARES;19407;53800.0703125;2772.19995117
BAHIA;BA;NORDESTE;BARRO ALTO;14172;41433.265625;2923.60009766
BAHIA;BA;NORDESTE;IBIPITANGA;14408;43890.1875;3046.23999023
BAHIA;BA;NORDESTE;CANUDOS;15366;53531.296875;3483.75
BAHIA;BA;NORDESTE;JOÃO DOURADO;21990;97669.578125;4441.54980469
BAHIA;BA;NORDESTE;CRISTÓPOLIS;14279;47487.671875;3325.69995117
BAHIA;BA;NORDESTE;RIBEIRA DO POMBAL;49263;244964.375;4972.58007812
BAHIA;BA;NORDESTE;RETIROLÂNDIA;11798;54673.390625;4634.12011719
BAHIA;BA;NORDESTE;CALDEIRÃO GRANDE;13922;43519.43359375;3125.94995117
BAHIA;BA;NORDESTE;SANTANA;27259;116221.203125;4263.58984375
BAHIA;BA;NORDESTE;SANTO AMARO;58387;307409.65625;5265.04003906
BAHIA;BA;NORDESTE;IRARÁ;25811;126903.78125;4916.64990234
BAHIA;BA;NORDESTE;IBIRATAIA;24544;104637.359375;4263.25976562
BAHIA;BA;NORDESTE;XIQUE-XIQUE;47470;183536.203125;3866.36010742
BAHIA;BA;NORDESTE;RIO DE CONTAS;13816;55162.2109375;3992.62988281
BAHIA;BA;NORDESTE;CAMACAN;31113;147744.5625;4748.64013672
BAHIA;BA;NORDESTE;NOVA SOURE;26874;79305.59375;2951.02001953
BAHIA;BA;NORDESTE;CANÁPOLIS;11136;32292.515625;2899.83007812
BAHIA;BA;NORDESTE;LAMARÃO;12995;30241.3203125;2327.14990234
BAHIA;BA;NORDESTE;SAUBARA;11632;58806.34765625;5055.56982422
BAHIA;BA;NORDESTE;CONTENDAS DO SINCORÁ;3886;18747.91796875;4824.47998047
BAHIA;BA;NORDESTE;MORPARÁ;8871;34771.55859375;3919.68994141
BAHIA;BA;NORDESTE;PAU BRASIL;12342;41465.12109375;3359.67993164
BAHIA;BA;NORDESTE;SÃO DESIDÉRIO;27513;981035.875;35657.1796875
BAHIA;BA;NORDESTE;AURELINO LEAL;14280;57520.3515625;4028.04003906
BAHIA;BA;NORDESTE;CONDE;23166;88530.46875;3821.57006836
BAHIA;BA;NORDESTE;BELMONTE;22553;136881.390625;6069.31982422
BAHIA;BA;NORDESTE;POJUCA;32225;688526.25;21366.2109375
BAHIA;BA;NORDESTE;BANZAÊ;11157;36750.9375;3293.97998047
BAHIA;BA;NORDESTE;ITUBERÁ;24169;132642.828125;5488.14013672
BAHIA;BA;NORDESTE;EUNÁPOLIS;99553;1228962.0;12344.79980469
BAHIA;BA;NORDESTE;MANOEL VITORINO;14138;49992.703125;3536.05004883
BAHIA;BA;NORDESTE;SANTO ESTÊVÃO;46855;264766.96875;5650.77001953
BAHIA;BA;NORDESTE;NOVO HORIZONTE;11092;37422.05078125;3373.79003906
BAHIA;BA;NORDESTE;DOM MACEDO COSTA;3951;16689.80078125;4224.20019531
BAHIA;BA;NORDESTE;PONTO NOVO;14734;59006.53125;4004.79003906
BAHIA;BA;NORDESTE;BOTUPORÃ;11048;37949.63671875;3434.97998047
BAHIA;BA;NORDESTE;SANTA MARIA DA VITÓRIA;41758;183714.421875;4399.5
BAHIA;BA;NORDESTE;PARIPIRANGA;29727;130894.5703125;4403.22021484
